"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41"
"66",0,0,64,73,0,0,37,100,29,0,12,90,52,1,0,56,95,56,60,2,57,100,100,47,62,60,100,74,17,64,62,97,54,88,31,3,71,85,95,5,6
"67",0,33,100,27,0,0,83,66,5,0,38,91,5,0,0,66,58,5,44,38,100,41,83,97,88,100,86,94,58,61,77,100,100,88,16,11,83,55,5,0,6
"68",0,4,70,67,0,0,57,65,3,0,3,86,12,0,0,31,60,0,0,0,73,23,1,58,34,86,0,52,82,88,83,19,80,69,40,37,100,93,48,0,6
"69",0,0,69,21,0,0,50,84,1,0,10,95,28,0,0,48,72,0,7,6,86,34,54,86,72,100,20,91,23,81,100,27,94,49,38,54,100,100,74,3,6
"70",0,1,63,55,0,0,39,93,3,0,7,89,28,0,0,47,87,1,0,0,98,70,87,96,44,85,100,64,19,90,81,95,37,65,63,31,96,100,63,4,6
"71",7,26,65,96,64,85,93,35,52,94,96,25,0,51,67,8,0,2,91,28,0,0,14,95,8,0,0,57,51,0,0,0,84,15,0,0,3,73,0,0,7
"72",5,51,79,97,51,88,92,36,48,86,30,12,0,72,66,0,0,17,97,30,0,0,56,81,0,0,0,88,52,0,0,16,96,13,0,0,3,80,0,0,7
"73",0,44,78,99,62,80,96,55,28,96,23,5,0,46,55,0,0,0,77,16,0,0,16,76,0,0,0,51,46,0,0,0,68,8,0,0,0,63,0,0,7
"74",0,11,53,81,66,38,98,91,82,96,77,42,14,53,88,0,0,0,74,28,0,0,9,97,12,0,0,38,81,0,0,0,72,50,0,0,0,77,9,0,7
"75",0,40,82,89,54,84,100,78,75,87,35,17,0,23,74,0,0,0,60,35,0,0,2,90,3,0,0,42,53,0,0,4,73,3,0,0,37,21,0,0,7
"76",0,0,19,71,83,6,68,93,57,73,85,63,10,17,56,10,0,0,36,26,0,0,0,64,6,0,0,5,69,0,0,0,18,52,0,0,0,30,43,0,7
"77",2,41,50,86,67,91,85,42,29,91,8,0,0,18,63,0,0,0,57,26,0,0,6,70,0,0,0,38,48,0,0,1,76,8,0,0,0,69,0,0,7
"78",44,77,95,100,62,76,39,16,25,91,0,0,0,50,65,0,0,1,81,19,0,0,36,72,1,0,6,86,14,0,0,29,65,0,0,0,29,44,0,0,7
"79",0,5,34,90,65,36,92,100,93,82,74,59,21,73,66,0,0,2,91,35,0,0,14,91,5,0,0,47,70,0,0,0,54,52,0,0,0,63,11,0,7
"80",1,13,72,100,78,87,100,80,50,88,38,32,0,29,66,0,0,0,54,46,0,5,4,85,13,0,1,37,70,0,0,0,73,16,0,0,3,78,0,0,7
"81",5,11,27,41,64,73,90,56,74,86,45,70,9,83,58,0,54,96,99,21,0,40,99,88,4,3,90,38,64,35,0,80,27,75,50,0,23,83,78,4,8
"82",78,89,69,25,0,55,63,8,77,42,4,89,69,99,74,0,62,100,58,0,36,98,95,8,0,70,61,52,60,0,65,50,44,89,0,15,75,100,74,0,8
"83",0,18,27,20,81,38,96,87,44,89,82,46,11,74,73,6,66,85,93,18,0,15,96,85,18,0,80,57,26,84,12,98,21,15,92,0,63,92,85,40,8
"84",22,82,95,71,77,90,28,28,100,45,60,40,47,99,16,1,46,93,73,0,0,18,98,54,0,0,61,46,47,8,0,87,9,69,18,0,54,97,73,2,8
"85",71,90,57,37,48,76,9,6,93,83,24,75,64,98,39,0,47,98,53,0,5,71,12,72,13,29,65,0,21,60,33,45,0,27,53,19,80,78,60,12,8
"86",26,67,52,36,56,80,45,35,63,84,48,53,2,66,61,0,54,85,79,6,0,28,98,70,5,0,80,29,78,28,8,90,4,69,26,1,62,93,68,5,8
"87",4,24,41,68,29,67,79,68,75,41,55,42,61,24,0,7,72,91,5,0,0,64,76,67,7,8,94,7,76,45,13,78,1,68,33,18,91,92,68,4,8
"88",40,85,90,60,20,75,65,35,95,90,15,90,40,100,60,0,20,100,100,30,0,20,100,90,0,0,65,100,95,5,0,95,85,85,0,0,60,100,35,0,8
