"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41"
"183",23,75,83,18,0,94,60,31,76,23,82,6,53,95,50,21,93,98,38,0,3,97,87,2,0,24,91,50,39,0,13,93,86,30,0,0,38,87,13,0,8
"184",39,69,86,69,12,99,66,40,80,20,91,3,19,33,0,54,75,61,1,0,31,100,59,0,0,65,55,72,7,0,45,48,72,30,0,0,53,89,11,0,8
"185",13,53,87,85,76,88,94,74,53,43,96,12,7,72,77,47,95,77,82,24,6,98,83,58,1,11,93,8,32,40,4,77,62,86,51,0,54,97,62,5,8
"186",0,17,60,83,30,33,65,62,42,13,73,4,0,0,15,68,31,18,55,59,19,79,100,66,0,60,95,40,76,5,38,67,11,43,43,0,47,74,90,45,8
"187",2,53,92,77,4,47,65,36,73,9,62,0,0,30,32,83,9,26,71,41,77,96,96,31,0,3,38,78,75,0,0,50,56,71,0,0,31,89,19,0,8
"188",2,37,79,84,0,71,74,41,90,47,77,0,0,25,90,92,80,51,94,58,5,80,82,83,13,12,63,3,67,13,10,68,5,38,24,1,58,95,72,2,8
"189",8,48,83,100,41,84,51,23,14,65,60,0,4,56,8,84,63,65,20,0,1,86,94,27,0,9,60,12,88,11,14,75,16,72,14,3,66,90,60,0,8
"190",0,5,53,93,39,23,89,77,56,34,90,30,0,41,78,91,92,74,86,9,4,35,74,39,85,0,72,17,0,82,0,77,14,42,58,0,63,91,67,8,8
"191",11,56,70,94,46,91,76,34,45,63,95,8,21,79,49,46,67,97,100,16,0,0,51,82,0,0,0,80,48,0,0,17,99,20,0,0,24,84,0,0,9
"192",0,46,86,78,17,39,99,90,70,82,87,28,0,3,92,95,43,53,53,88,55,63,24,95,41,0,0,39,86,6,0,1,90,38,0,0,0,74,3,0,9
"193",17,62,72,84,50,79,43,8,10,43,93,19,12,53,59,45,67,59,88,32,0,0,19,89,2,0,0,65,43,0,0,12,94,2,0,0,36,52,0,0,9
"194",0,28,78,69,2,28,94,92,68,48,87,59,10,40,87,89,9,2,76,85,76,95,65,98,25,20,59,91,75,0,0,0,81,57,0,0,0,60,41,0,9
"195",0,62,90,48,0,54,62,11,34,42,51,2,0,44,85,69,0,3,77,58,71,75,90,92,0,5,15,51,60,0,0,3,97,24,0,0,9,81,10,0,9
"196",0,34,85,88,44,27,81,10,32,100,77,19,0,61,79,76,2,42,93,32,83,90,55,47,38,29,25,0,44,34,0,0,0,51,34,0,0,0,52,24,9
"197",0,36,81,77,1,45,96,52,75,55,82,28,0,34,94,69,21,36,81,46,88,100,90,96,9,21,28,3,77,0,0,0,14,56,0,0,0,10,59,0,9
"198",4,52,82,85,27,83,44,9,33,73,36,0,24,84,9,74,70,92,60,0,11,11,48,35,0,0,0,68,12,0,0,0,89,30,0,0,0,77,3,0,9
"199",0,23,72,99,72,26,79,32,8,77,78,9,0,42,55,88,29,43,93,27,34,61,35,91,0,0,0,27,72,0,0,0,44,68,0,0,0,47,76,0,9
"200",11,63,79,89,41,74,48,3,43,80,72,0,0,63,50,67,0,9,95,21,59,69,88,81,1,1,41,72,50,0,0,0,53,48,0,0,0,51,48,0,9
